idcentro,latitud,localidad,longitud,naturaleza,nombre,tipo
22005716,42.01062249,Fonz,0.26133179,Público,C.R.A. Estadilla-Fonz,Colegio Público
22005731,42.62816156,Biescas,-0.32166696,Público,C.R.A. Alto Gállego,Colegio Público
22005765,42.57828588,Jaca,-0.54031484,Público,Pirineos,Instituto de Educación Secundaria (IES)
22005790,42.10890937,Benabarre,0.48039866,Público,C.R.A. Ribagorza Oriental,Colegio Público
22005807,41.47341740,Torrente De Cinca,0.33355172,Público,C.R.A. Ribera Del Cinca,Colegio Público
22005819,41.80028614,Altorricon,0.41206842,Público,C.R.A. De Altorricón,Colegio Público
22005832,41.69527395,Belver De Cinca,0.17631404,Público,C.R.A. Albeos,Colegio Público
22004773,42.13612892,Huesca,-0.40415277,Público,Lucas Mallada,Instituto de Educación Secundaria (IES)
22005868,41.84375179,Lalueza,-0.26003097,Público,C.R.A. Monegros-Hoya,Colegio Público
22005881,42.60562628,Benasque,0.52456650,Público,C.R.A. Alta Ribagorza,Colegio Público
22005911,41.52098341,Fraga,0.35013054,Público,Instituto Musical Comarcal,Escuela Pública de Música y/o Danza
22006034,41.52323702,Fraga,0.34338947,Público,Bajo Cinca,Centro Público de Educación de Personas Adultas (Presenc
22006083,42.03734926,Almudevar,-0.58043749,Público,Sección Del I.E.S. Pirámide,Instituto de Educación Secundaria (IES)
22006101,41.94190564,Grañen,-0.36587259,Público,Montes Negros,Instituto de Educación Secundaria (IES)
22006137,42.60562628,Benasque,0.52456650,Concertado,Valle De Benasque,Centro Privado de Educación Secundaria
22010025,41.52323702,Fraga,0.34338947,Público,Extensión De La E.O.I.,Escuela Oficial de Idiomas (EOI)
22010062,41.86539309,Albelda,0.46194757,Público,E.E.I. De Albelda,Escuela de Educación Infantil
44000121,41.12389788,Albalate Del Arzobispo,-0.51006850,Público,Román García,Colegio Público
44000261,41.04998913,Alcañiz,-0.13215416,Concertado,San Valero,Centro Privado con varias Enseñanzas de Régimen General
44000271,41.05143566,Alcañiz,-0.13089261,Concertado,La Inmaculada,Centro Privado con varias Enseñanzas de Régimen General
44000465,40.97455878,Andorra,-0.44878296,Público,Juan Ramón Alegre,Colegio Público
50004004,41.63272154,Puebla De Alfinden (La),-0.74948518,Público,Emiliano Labarta,Colegio Público
50004031,41.42445140,Quinto,-0.49724555,Público,Fernando El Católico,Colegio Público
50004326,41.32313903,Sastago,-0.34601859,Público,Daniel Federio,Colegio Público
50007078,41.63936429,Zaragoza,-0.87295983,Concertado,Agustín Gericó,Centro Privado con varias Enseñanzas de Régimen General
50007133,41.64564931,Zaragoza,-0.88110646,Concertado,Ntra. Sra. Del Carmen,Centro Privado con varias Enseñanzas de Régimen General
50007157,41.65609432,Zaragoza,-0.89133073,Concertado,Ntra. Sra.Del Carmen Y San José,Centro Privado con varias Enseñanzas de Régimen General
50007236,41.64463464,Zaragoza,-0.90329778,Concertado,Salesiano Ntra. Sra.Del Pilar,Centro Privado con varias Enseñanzas de Régimen General
50007248,41.67440312,Zaragoza,-0.96004584,Concertado,Teresiano del Pilar,Centro Privado con varias Enseñanzas de Régimen General
50007327,41.66870829,Zaragoza,-0.88216297,Concertado,El Pilar-Maristas,Centro Privado con varias Enseñanzas de Régimen General
50007352,41.63600440,Zaragoza,-0.89096626,Concertado,Pompiliano,Centro Privado con varias Enseñanzas de Régimen General
50007388,41.65786935,Zaragoza,-0.86775657,Concertado,La Purisíma Y San Antonio,Centro Privado con varias Enseñanzas de Régimen General
50007431,41.67156287,Zaragoza,-0.88279737,Concertado,Sagrado Corazón de Jesús,Centro Privado con varias Enseñanzas de Régimen General
50007467,41.64004834,Zaragoza,-0.89319486,Concertado,La Salle Franciscanas Gran Vía,Centro Privado de Educación Secundaria
50007479,41.63711544,Zaragoza,-0.87083451,Concertado,La Salle Montemolín,Centro Privado con varias Enseñanzas de Régimen General
50007509,41.64126703,Zaragoza,-0.88176055,Concertado,San Agustín,Centro Privado con varias Enseñanzas de Régimen General
50007534,41.63427083,Zaragoza,-0.88674848,Concertado,San Antonio De Padua,Centro Privado con varias Enseñanzas de Régimen General
50007674,41.63279099,Zaragoza,-0.89103570,Privado,San Martín De Porres,Centro Privado de Educación  Especial
50007716,41.66999000,Zaragoza,-0.87890906,Concertado,San Valero,Centro Privado de Educación Secundaria
50007728,41.65377578,Zaragoza,-0.87511371,Concertado,San Vicente De Paúl,Centro Privado con varias Enseñanzas de Régimen General
44010215,40.35450307,Teruel,-1.10839796,Público,Ciudad de Teruel,Escuela Pública de Música y/o Danza
22002016,42.36998988,Tierrantona,0.27070982,Público,La Fueva,Colegio Público
22010244,42.13257199,Tierz,-0.35338204,Público,DE TIERZ,Escuela de Educación Infantil
44010264,41.05204331,Torrecilla De Alcañiz,-0.13431866,Público,DE TORRECILLA DE ALCAÑIZ,Escuela de Educación Infantil
50004843,41.75867288,Torres De Berrellen,-1.06740569,Público,Tomás Romojaro,Colegio Público
50004879,41.31693715,Tosos,-1.07075009,Público,Tosos,Colegio Público
44004495,40.43035103,Tramacastilla,-1.57267007,Público,C.R.A. Sierra De Albarracín,Colegio Público
50017618,42.35838240,Uncastillo,-1.13534535,Público,ESCUELA MUNICIPAL DE MÚSICA,Escuela Pública de Música y/o Danza
50017199,41.70845688,Utebo,-1.00043247,Público,Escuela  De Música,Escuela Pública de Música y/o Danza
50010855,41.71137281,Utebo,-1.00462550,Público,Emilio Navarro,Centro Público de Educación de Personas Adultas (Presenc
